date,csi300,sp500,stoxx50
2024-09-18,3171.01,5618.2598,4835.29
2024-09-19,3196.036,5713.6401,4943.37
2024-09-20,3201.05,5702.5498,4871.53
2024-09-23,3212.764,5718.5698,4885.56
2024-09-24,3351.909,5732.9302,4940.71
2024-09-25,3401.533,5722.2598,4916.9
2024-09-26,3545.32,5745.3701,5032.58
2024-09-27,3703.685,5738.1699,5067.44
2024-09-30,4017.855,5762.48,5000.45
2024-10-08,4256.096,5751.1299,4949.0
2024-10-09,3955.984,5792.04,4982.57
2024-10-10,3997.788,5780.0498,4970.33
2024-10-11,3887.167,5815.0298,5003.92
2024-10-14,3961.342,5859.8501,5041.0
2024-10-15,3855.995,5815.2598,4946.73
2024-10-16,3831.589,5842.4702,4908.71
2024-10-17,3788.222,5841.4702,4947.3
2024-10-18,3925.234,5864.6699,4986.26
2024-10-21,3935.197,5853.98,4941.21
2024-10-22,3957.776,5851.2002,4939.31
2024-10-23,3973.209,5797.4199,4922.54
2024-10-24,3928.833,5809.8599,4935.44
2024-10-25,3956.421,5808.1201,4943.08
2024-10-28,3964.157,5823.52,4969.83
2024-10-29,3924.649,5832.9199,4950.02
2024-10-30,3889.449,5813.6699,4885.74
2024-10-31,3891.04,5705.4502,4827.62
2024-11-01,3890.02,5728.7998,4877.74
2024-11-04,3944.762,5712.6899,4852.1
2024-11-05,4044.573,5782.7598,4870.32
2024-11-06,4024.283,5929.04,4800.62
2024-11-07,4145.695,5973.1001,4851.95
2024-11-08,4104.047,5995.54,4802.75
2024-11-11,4131.131,6001.3501,4854.02
2024-11-12,4085.743,5983.9902,4744.68
2024-11-13,4110.89,5985.3799,4740.34
2024-11-14,4039.619,5949.1699,4833.53
2024-11-15,3968.831,5870.6201,4794.85
2024-11-18,3950.381,5893.6201,4790.33
2024-11-19,3976.891,5916.98,4751.23
2024-11-20,3985.773,5917.1099,4729.7
2024-11-21,3989.298,5948.71,4755.83
2024-11-22,3865.699,5969.3398,4789.07
2024-11-25,3848.091,5987.3701,4799.87
2024-11-26,3840.185,6021.6299,4761.99
2024-11-27,3907.045,5998.7402,4733.14
2024-11-29,3916.583,6032.3799,4804.4
2024-12-02,3947.632,6047.1499,4846.73
2024-12-03,3951.891,6049.8799,4878.51
2024-12-04,3930.557,6086.4902,4919.02
2024-12-05,3921.588,6075.1099,4951.58
2024-12-06,3973.141,6090.27,4977.78
2024-12-09,3966.571,6052.8501,4985.45
2024-12-10,3995.637,6034.9102,4951.73
2024-12-11,3988.831,6084.1899,4959.34
2024-12-12,4028.505,6051.25,4965.52
2024-12-13,3933.181,6051.0898,4967.94
2024-12-16,3911.842,6074.0801,4947.03
2024-12-17,3922.033,6050.6099,4942.58
2024-12-18,3941.89,5872.1602,4957.27
2024-12-19,3945.464,5867.0801,4878.99
2024-12-20,3927.744,5930.8501,4862.28
2024-12-23,3933.572,5974.0698,4852.92
2024-12-24,3983.688,6040.04,4857.86
2024-12-27,3981.031,5970.8398,4898.87
2024-12-30,3999.055,5906.9399,4869.29
2024-12-31,3934.911,5881.6299,4895.99
2025-01-02,3820.395,5868.5498,4917.88
2025-01-03,3775.165,5942.4702,4871.46
2025-01-06,3768.97,5975.3799,4986.63
2025-01-07,3796.106,5909.0298,5011.81
2025-01-08,3789.215,5918.25,4996.38
2025-01-10,3732.481,5827.04,4977.26
2025-01-13,3722.513,5836.2202,4954.21
2025-01-14,3820.54,5842.9102,4980.47
2025-01-15,3796.026,5949.9102,5032.31
2025-01-16,3800.384,5937.3398,5106.93
2025-01-17,3812.343,5996.6602,5148.3
2025-01-21,3832.615,6049.2402,5165.96
2025-01-22,3797.017,6086.3701,5205.83
2025-01-23,3803.744,6118.71,5217.49
2025-01-24,3832.864,6101.2402,5219.36
2025-01-27,3817.08,6012.2798,5188.44
2025-02-05,3795.085,6061.48,5271.12
